ORIGINAL,TRANSLATION
"REGLAMENTO (CE) N o 589/2008 DE LA COMISIÓN de 23 de junio de 2008 por el que se establecen las disposiciones de aplicación del Reglamento (CE) no 1234/2007 del Consejo en lo que atañe a las normas de comercialización de los huevos LA COMISIÓN DE LAS COMUNIDADES EUROPEAS, Visto el Tratado constitutivo de la Comunidad Europea, Visto el Reglamento (CE) no 1234/2007 del Consejo, de 22 de octubre de 2007, por el que se crea una organización común de mercados agrícolas y se establecen disposiciones específicas para determinados productos agrícolas (Reglamento único para las OCM) (1), y, en particular, su artículo 12, letra d), leído en relación con su artículo 4. Considerando lo siguiente: (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133) (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Регламент Комісії (ЄС) N 589/2008 'Що встановлює докладні правила щодо імплементації Регламенту Ради (ЄС) N 1234/2007 про стандарти продажу для яєць' від 23 червня 2008 року КОМІСІЯ ЄВРОПЕЙСЬКИХ СПІВТОВАРИСТВ, Беручи до уваги Договір про заснування Європейського Співтовариства ( 994_017 ). Беручи до уваги Регламент Ради (ЄС) N 1234/2007 від 22 жовтня 2007 року про заснування спільної організації ринків сільськогосподарської продукції та встановлення спеціальних положень, що стосуються деяких видів сільськогосподарської продукції (Єдиний CMO Регламент - єдиний Регламент про спільну організацію ринку)(1), та зокрема його статтю 121 (d) у поєднанні зі статтею 4, (1) OB L 299, 16.11.2007, C. 61). Оскільки: (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html) (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(1) A partir del 1 de julio de 2008, el Reglamento (CE) no 1028/2006 del Consejo, de 19 de junio de 2006, sobre las normas de comercialización de los huevos (2), será derogado por el Reglamento (CE) no 1234/2007. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)",(1) Починаючи з 1 липня 2008 року Регламент Ради (ЄС) N 1028/2006 від 19 червня 2006 року про стандарти продажу для яєць(2) відмінено Регламентом (ЄС) N 1234/2007. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
(2) Algunas disposiciones y obligaciones previstas en el Reglamento (CE) no 1028/2006 no han sido incluidas en el Reglamento (CE) no 1234/2007. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),"(2) Деякі положення та зобов'язання, встановлені в Регламенті (ЄС) N 1028/2006, не були враховані у Регламенті (ЄС) N 1234/2007. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(3) Por consiguiente, con objeto de permitir la continuidad y el buen funcionamiento de la organización común del mercado y, en particular, las normas de comercialización, deben adoptarse algunas disposiciones y obligaciones apropiadas en el marco de un Reglamento que establezca normas de desarrollo del Reglamento (CE) no 1234/2007. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(3) Таким чином, певні відповідні положення та зобов'язання повинні бути ухвалені в межах регламенту, що встановлює детальні правила застосування Регламенту (ЄС) N 1234/2007 для того, щоб забезпечити безперервність і нормальне функціонування загальної організації ринку, і зокрема ринкових стандартів. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
(4) El Reglamento (CE) no 1234/2007 establece los requisitos básicos que deben cumplir los huevos para su comercialización en la Comunidad. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),"(4) Регламент (ЄС) N 1234/2007 встановлює основні вимоги, яким яйця повинні відповідати, щоб продаватися у Співтоваристві. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Por motivos de claridad, es preciso establecer nuevas disposiciones de aplicación de esas normas. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)",Для ясності повинні бути визначені нові детальні правила щодо імплементації таких вимог. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
"Procede, por lo tanto, derogar el Reglamento (CE) no 557/2007 de la Comisión (3), que establece las disposiciones de aplicación del Reglamento (CE) no 1028/2006, y sustituirlo por un nuevo Reglamento. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Тому Регламент Комісії (ЄС) N 557/2007(3), в якому викладені детальні правила застосування Регламенту (ЄС) N 1028/2006, має бути скасовано і замінено новим Регламентом. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(5) Es necesario que las disposiciones del Reglamento (CE) no 852/2004 del Parlamento Europeo y del Consejo, de 29 de abril de 2004, relativo a la higiene de los productos alimenticios (4), y del Reglamento (CE) no 853/2004 del Parlamento Europeo y del Consejo, de 29 de abril de 2004, por el que se establecen normas específicas de higiene de los alimentos de origen animal (5), se apliquen a los huevos. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(5) Регламент Європейського Парламенту та Ради (ЄС) N 852/2004 від 29 квітня 2004 року про гігієну харчових продуктів(4) і Регламент Європейського Парламенту та Ради (ЄС) N 853/2004 від 29 квітня 2004 року, що встановлює спеціальні правила гігієни для продуктів харчування тваринного походження(5), застосовується до яєць. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Es preciso, por lo tanto, remitirse en la mayor medida posible a esos Reglamentos horizontales. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Таким чином, необхідно наскільки можливо посилатися на такі горизонтальні Регламенти. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
(6) Es necesario determinar las características cualitativas de los huevos de la categoría A con el fin de garantizar que los huevos que se entreguen directamente al consumidor final sean de elevada calidad y fijar una serie de criterios que puedan ser controlados por los servicios de inspección. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),"(6) Якісні характеристики для яєць класу А повинні бути закріплені, щоб гарантувати високу якість яєць, які доставляються безпосередньо до кінцевого споживача, і встановити критерії, які можуть бути перевірені службами контролю. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Tales características cualitativas deben basarse en la norma no 42 de la Comisión Económica para Europa de las Naciones Unidas (CEPE/ONU), relativa a la comercialización y los controles de la calidad comercial de los huevos con cáscara que se introduzcan en el comercio internacional entre los países miembros de la CEPE/ONU y que se destinen a esos países. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Такі якісні характеристики повинні бути засновані на Стандарті N 42 Економічної комісії ООН для Європи (ЄЕК ООН) про збут і контроль товарної якості яєць у шкаралупі, що надходять в міжнародну торгівлю між країнами-членами ЄЕК ООН і які призначені для цих країн. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(7) La práctica de dejar huevos fríos a temperatura ambiente puede resultar en un fenómeno de condensación que propicie la proliferación de bacterias en la cáscara y, probablemente, su penetración en el huevo. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(7) Холодні яйця, залишені при кімнатній температурі, можуть вкритися конденсатом, що сприяє зростанню бактерій на шкаралупі і, ймовірно, їх проникненню в яйце. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Por consiguiente, los huevos deben almacenarse y transportarse a una temperatura de preferencia constante y, por regla general, no refrigerarse antes de su venta al consumidor final. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Таким чином, бажано, щоб яйця зберігалися і транспортувалися при сталій температурі і, як правило, не охолоджувались до продажу кінцевому споживачеві. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(8) Por lo general, los huevos no deben lavarse ni limpiarse, ya que tales prácticas pueden dañar la cáscara de los huevos, la cual constituye una barrera eficaz contra la entrada de bacterias y presenta una amplia gama de propiedades antimicrobianas para los huevos. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(8) Загалом, яйця не повинні бути вимиті або очищені, оскільки такі практики можуть призвести до пошкодження яєчної шкаралупи, яка є ефективним бар'єром проти проникнення бактерій і становить великий набір антимікробних властивостей. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Dicho esto, determinadas prácticas, como el tratamiento de los huevos con rayos ultravioletas, no deben considerarse procesos de limpieza. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Однак, деякі практики, такі, як обробка яєць ультрафіолетовими променями, не слід тлумачити як способи очищення. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Además, los huevos de la categoría A no deben lavarse debido a los posibles daños que pueden ocasionarse a las barreras físicas, como la cutícula, durante el proceso de lavado o después del mismo. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Крім того, яйця класу А не варто мити через можливість нанесення шкоди фізичним бар'єрам, таким, як кутикули, яка може виникнути під час або після миття. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Esos daños pueden favorecer la contaminación con bacterias y la pérdida de humedad a través de la cáscara, con el consiguiente aumento de los riesgos para los consumidores, especialmente si las condiciones subsiguientes de secado y almacenamiento no son óptimas. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Такі пошкодження можуть спричиняти бактеріальне забруднення і втрату вологи через шкаралупу і тим самим збільшувати ризик для споживачів, зокрема, якщо наступна сушка і умови зберігання не є оптимальними. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(9) No obstante, en algunos Estados miembros se utilizan, con buenos resultados, sistemas de lavado de huevos que se hallan sujetos a autorización previa y a una aplicación en condiciones minuciosamente controladas. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(9) Тим не менше, системи миття яєць за умови отримання дозволу та, діючи в рамках ретельно контрольованих умов, використовуються в деяких державах-членах з хорошими результатами. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Según el dictamen de la Comisión Técnica de Peligros Biológicos de la Autoridad Europea de Seguridad Alimentaria acerca de los riesgos microbiológicos del lavado de los huevos de mesa, adoptado el 7 de septiembre de 2005 (6), a petición de la Comisión, la práctica del lavado de huevos, según se efectúa en determinados centros de embalaje, puede admitirse desde el punto de vista higiénico siempre que, entre otras medidas, se elabore un código de prácticas para los sistemas de lavado de huevos. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Відповідно до висновку Наукової групи з біологічної небезпеки Європейського органу з безпеки харчових продуктів, наданого на запит Комісії відносно Мікробіологічного ризику щодо миття столових яєць, ухваленого 7 вересня 2005 року(1), практика миття яєць, що здійснюється в певних пакувальних центрах, може бути підтримана з точки зору гігієни, зокрема, за умови розробки кодексу практик щодо миття яєць. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
(10) Los huevos de la categoría A deben clasificarse por peso. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),(10) Яйця класу А повинні класифікуватися за вагою. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
"Y es preciso determinar un número limitado de categorías de peso, a las que corresponderán unos términos claros, como requisito mínimo de etiquetado, lo cual no excluye la aplicación de un etiquetado voluntario adicional en cumplimiento de lo establecido en la Directiva 2000/13/CE del Parlamento Europeo y del Consejo, de 20 de marzo de 2000, relativa a la aproximación de las legislaciones de los Estados miembros en materia de etiquetado, presentación y publicidad de los productos alimenticios (7). (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Таким чином, має бути визначене обмежене число вагових категорій з відповідними чіткими позначеннями, як мінімальними вимогами до маркування, які не виключають додаткове добровільне маркування, за умови, що вимоги Директиви 2000/13/ЄС Європейського Парламенту та Ради від 20 березня 2000 року про наближення законодавств держав-членів про маркування, презентацію та рекламу продуктів харчування(2) будуть дотримані. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(11) Únicamente deberán estar autorizadas para clasificar los huevos por categorías de calidad y peso, en calidad de centros de embalaje, las empresas que dispongan de unos locales y un equipo técnico acordes con la importancia y la naturaleza de sus actividades y aptos, por tanto, para la correcta manipulación de los huevos. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(11) Тільки підприємства, чиї приміщення та технічне обладнання підходять для масштабу та виду їх діяльності, і які, таким чином, дозволяють правильно обробляти яйця, повинні бути авторизованими як центри пакування для класифікації яєць за якістю та вагою. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(12) Deberán fijarse plazos máximos para la clasificación, el marcado y el embalaje de los huevos, así como para el marcado de los estuches. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(12) Мають бути визначені максимальні терміни для сортування, маркування та упаковки яєць і маркування упаковок. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(13) Junto con la obligación general de asegurar la trazabilidad de los alimentos, los piensos, los animales destinados a la producción de alimentos o las sustancias destinadas a ser incorporadas a alimentos o a piensos o con probabilidad de serlo en cualquier fase de la producción, transformación y comercialización, introducida por el Reglamento (CE) no 178/2002 del Parlamento Europeo y del Consejo, de 28 de enero de 2002, por el que se establecen los principios y los requisitos generales de la legislación alimentaria, se crea la Autoridad Europea de Seguridad Alimentaria y se fijan procedimientos relativos a la seguridad alimentaria (8), y con el objetivo de ejecutar los controles pertinentes, se exigirá determinada información sobre los embalajes para transporte que contengan huevos, así como determinados documentos de acompañamiento. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(13) На додаток до загальних зобов'язань встановити простежуваність продуктів харчування, кормів, сільськогосподарських тварин і будь-якої іншої речовини, що призначені для введення, або які можливо будуть введені в продукти харчування або корми на всіх етапах виробництва, переробки та розподілу відповідно до Регламенту (ЄС) N 178/2002 Європейського Парламенту та Ради від 28 січня 2002 року, що встановлює загальні принципи та вимоги харчового законодавства, засновує Європейський Орган з безпеки харчових продуктів і встановлює процедури в питаннях безпеки харчових продуктів(3), а також з метою здійснення відповідного контролю необхідно, щоб на транспортній упаковці, яка містить яйця, а також у супровідних документах була викладена певна інформація. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
(14) Es esencial marcar los huevos con el código del productor en el establecimiento de producción cuando los huevos vayan a entregarse a otro Estado miembro. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),(14) Маркування яєць кодом виробника на місці виробництва є необхідним при постачанні яєць іншим державам-членам. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
"En lo que atañe más concretamente a los huevos de la categoría B, procede aclarar que, en caso de que el código del productor no baste para distinguir claramente la categoría de calidad, los huevos de la categoría B deberán marcarse con otra indicación. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Що стосується, зокрема, яєць класу B слід уточнити, що, якщо один код виробника чітко не вказує на клас класифікації, яйця класу B повинні бути марковані іншим позначенням. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(15) Resulta conveniente definir la composición del código del productor contemplado en el anexo XIV, parte A, apartado III, punto 1, del Reglamento (CE) no 1234/2007. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(15) Склад коду виробника, що передбачений пунктом 1 частини А, III Додатка XIV до Регламенту (ЄС) N 1234/2007, має бути визначений. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Además, es preciso dejar clara la posibilidad de establecer una excepción al requisito de marcado con el código del productor si el equipo técnico de marcado de los huevos no permite el marcado de los huevos resquebrajados o sucios. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Крім того, варто пояснити, що виключення щодо вимог маркування кодом виробника може бути зроблено, якщо технічне обладнання для маркування яйця не дозволяє маркування тріснутих або забруднених яєць. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(16) Deben definirse las características de las demás indicaciones posibles para el marcado de los huevos de la categoría B, con arreglo a lo dispuesto en el anexo XIV, parte A, apartado III, punto 1, párrafo segundo, del Reglamento (CE) no 1234/2007. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(16) Повинні бути визначені характеристики інших можливих позначень для маркування яєць класу B, як зазначено в другому підпункті пункту 1 частини А, III Додатка XIV до Регламенту (ЄС) N 1234/2007. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(17) Cuando los huevos se entregan directamente a empresas de la industria alimentaria para su transformación, y existen garantías suficientes con respecto a su destino final, los Estados miembros pueden conceder excepciones al requisito de marcado a los operadores que así lo soliciten. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(17) Якщо яйця доставляються безпосередньо до підприємств харчової промисловості для обробки і є достатні гарантії їх кінцевого призначення, держави-члени можуть допускати відступи від вимог маркування на прохання суб'єктів господарювання. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
(18) La Directiva 2000/13/CE establece normas de carácter general aplicables a todos los productos alimenticios comercializados. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),"(18) Директива 2000/13/ЄС встановлює правила загального характеру, що застосовуються до всіх харчових продуктів, розміщених на ринку. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"No obstante, es preciso establecer requisitos de marcado específicos para los estuches. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Однак, деякі конкретні вимоги маркування повинні бути надані для упаковок. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(19) El artículo 9 de la Directiva 2000/13/CE define la fecha de duración mínima de un producto alimenticio como la fecha hasta la cual este mantiene sus propiedades específicas, siempre que se almacene en condiciones adecuadas. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(19) Стаття 9 Директиви 2000/13/ЄС визначає датою мінімального терміну придатності продуктів харчування дату, до якої продукти харчування зберігають свої особливі властивості за умови належного зберігання. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Por motivos de claridad, debe disponerse que esa fecha no pueda rebasar un plazo superior a 28 días después de la puesta. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Для ясності має бути встановлено, що ця дата не повинна перевищувати 28 днів після знесення. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
(20) Los huevos pueden venderse con una indicación que ponga de relieve su especial frescura. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),"(20) Яйця можуть бути продані з позначенням, що підкреслює виключну свіжість яйця. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Con ese fin, debe fijarse un plazo máximo para el uso de ese tipo de indicación. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)",З цією метою для таких позначень повинен бути визначений максимальний термін. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
(21) Los huevos pueden venderse también con una indicación que ponga de relieve la composición específica del pienso administrado a las gallinas ponedoras. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),"(21) Яйця можуть бути продані з позначенням, що підкреслює виключні формули корму, який дають курям-несучкам. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Procede, por lo tanto, fijar los requisitos mínimos aplicables a ese tipo de indicación. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)",Повинні бути встановлені мінімальні вимоги для використання таких позначень. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
"(22) Cuando los huevos se vendan a granel, debe ponerse a disposición del consumidor determinada información que habitualmente figura en el estuche. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(22) Якщо яйця продаються на вагу, деякі відомості, зазвичай на упаковці, повинні бути доступними для споживача. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
