,original,translation
0,"Article_NOUN_O_NN_root_1_(article) 1_NUM_S-CARDINAL_CD_dep_Article_(1) 1
","Điều_NOUN_O_NN_root_:_(Điều) 1_NUM_S-CARDINAL_CD_dep_Điều_(1) :_PUNCT_O_:_punct_Điều_(:) :
"
0,"The_DET_O_DT_det_Purposes_(the) Purposes_PROPN_O_NNPS_nsubj_are_(Purposes) of_ADP_O_IN_case_Nations_(of) the_DET_B-ORG_DT_det_Nations_(the) United_ADJ_I-ORG_NNP_amod_Nations_(United) Nations_PROPN_E-ORG_NNPS_nmod_Purposes_(Nation) are_VERB_O_VBP_root_:_(be) :_PUNCT_O_:_punct_are_(:) :
","Mục_X_O_FW_root_:_(mục) đích_X_O_FW_goeswith_Mục_của_X_O_FW_goeswith_Mục_(của) Liên_X_O_FW_goeswith_Mục_(Liên) hợp_X_O_FW_flat_Mục_(hợp) quốc_X_O_FW_obl_Mục_(quốc) là_X_O_FW_obl_Mục_(là) :_PUNCT_O_:_punct_Mục_(:) :
"
0,"To_PART_O_TO_mark_maintain_(to) maintain_VERB_O_VB_root_,_(maintain) international_ADJ_O_JJ_amod_peace_(international) peace_NOUN_O_NN_obj_maintain_(peace) and_CCONJ_O_CC_cc_security_(and) security_NOUN_O_NN_conj_peace_(security) ,_PUNCT_O_,_punct_end_(,) and_CCONJ_O_CC_cc_end_(and) to_ADP_O_IN_case_end_(to) that_DET_O_DT_det_end_(that) end_NOUN_O_NN_conj_peace_(end) :_PUNCT_O_:_punct_take_(:) to_PART_O_TO_mark_take_(to) take_VERB_O_VB_conj_maintain_(take) effective_ADJ_O_JJ_amod_measures_(effective) collective_ADJ_O_JJ_amod_measures_(collective) measures_NOUN_O_NNS_obj_take_(measure) for_ADP_O_IN_case_prevention_(for) the_DET_O_DT_det_prevention_(the) prevention_NOUN_O_NN_nmod_measures_(prevention) and_CCONJ_O_CC_cc_removal_(and) removal_NOUN_O_NN_conj_prevention_(removal) of_ADP_O_IN_case_threats_(of) threats_NOUN_O_NNS_nmod_prevention_(threat) to_ADP_O_IN_case_peace_(to) the_DET_O_DT_det_peace_(the) peace_NOUN_O_NN_nmod_threats_(peace) ,_PUNCT_O_,_punct_suppression_(,) and_CCONJ_O_CC_cc_suppression_(and) for_ADP_O_IN_case_suppression_(for) the_DET_O_DT_det_suppression_(the) suppression_NOUN_O_NN_conj_prevention_(suppression) of_ADP_O_IN_case_acts_(of) acts_NOUN_O_NNS_nmod_suppression_(act) of_ADP_O_IN_case_aggression_(of) aggression_NOUN_O_NN_nmod_acts_(aggression) or_CCONJ_O_CC_cc_breaches_(or) other_ADJ_O_JJ_amod_breaches_(other) breaches_NOUN_O_NNS_conj_acts_(breach) of_ADP_O_IN_case_peace_(of) the_DET_O_DT_det_peace_(the) peace_NOUN_O_NN_nmod_breaches_(peace) ,_PUNCT_O_,_punct_maintain_(,) ,
","Duy_X_O_FW_advmod_trì_(duy) trì_X_O_FW_root_ngừa_(trì) hoà_X_O_FW_obj_trì_(hoà) bình_X_O_FW_goeswith_hoà_và_X_O_FW_flat_hoà_(và) an_X_O_FW_obl_hoà_(a) ninh_X_O_FW_obl_hoà_(ninh) quốc_X_O_FW_obl_hoà_(quốc) tế_X_O_FW_obl_hoà_(tế) ,_PUNCT_O_,_punct_để_(,) và_X_O_FW_case_để_(và) để_X_O_FW_conj_hoà_(để) đạt_X_O_FW_case_mục_(đạt) được_X_O_FW_case_mục_(được) mục_X_O_FW_obl_trì_(mục) đích_X_O_FW_goeswith_mục_đó_X_O_FW_case_mục_(đó) ,_PUNCT_O_,_punct_thi_(,) thi_X_O_FW_conj_mục_(thi) hành_X_O_FW_goeswith_thi_những_X_O_FW_goeswith_thi_biện_X_O_FW_flat_thi_(biện) pháp_X_O_FW_flat_thi_(pháp) tập_X_O_FW_goeswith_pháp_thể_X_O_FW_goeswith_pháp_có_X_O_FW_flat_pháp_(có) hiệu_X_O_FW_flat_pháp_(hiệu) quả_X_O_FW_flat_pháp_(quả) để_X_O_FW_nmod_pháp_(để) phòng_X_O_FW_goeswith_để_ngừa_X_O_FW_nmod_pháp_(ngừa) ngừa
"
0,"and_CCONJ_O_CC_cc_bring_(and) to_PART_O_TO_mark_bring_(to) bring_VERB_O_VB_root_;_(bring) about_ADP_O_IN_compound:prt_bring_(about) by_ADP_O_IN_case_means_(by) peaceful_ADJ_O_JJ_amod_means_(peaceful) means_NOUN_O_NNS_obl_bring_(means) ,_PUNCT_O_,_punct_conformity_(,) and_CCONJ_O_CC_cc_conformity_(and) in_ADP_O_IN_case_conformity_(in) conformity_NOUN_O_NN_conj_means_(conformity) with_ADP_O_IN_case_principles_(with) the_DET_O_DT_det_principles_(the) principles_NOUN_O_NNS_nmod_conformity_(principle) of_ADP_O_IN_case_justice_(of) justice_NOUN_O_NN_nmod_principles_(justice) and_CCONJ_O_CC_cc_law_(and) international_ADJ_O_JJ_amod_law_(international) law_NOUN_O_NN_conj_justice_(law) ,_PUNCT_O_,_punct_adjustment_(,) adjustment_NOUN_O_NN_conj_principles_(adjustment) or_CCONJ_O_CC_cc_settlement_(or) settlement_NOUN_O_NN_conj_adjustment_(settlement) of_ADP_O_IN_case_disputes_(of) international_ADJ_O_JJ_amod_disputes_(international) disputes_NOUN_O_NNS_nmod_adjustment_(dispute) or_CCONJ_O_CC_cc_situations_(or) situations_NOUN_O_NNS_conj_disputes_(situation) which_PRON_O_WDT_nsubj_lead_(which) might_AUX_O_MD_aux_lead_(might) lead_VERB_O_VB_acl:relcl_principles_(lead) to_ADP_O_IN_case_breach_(to) a_DET_O_DT_det_breach_(a) breach_NOUN_O_NN_obl_lead_(breach) of_ADP_O_IN_case_peace_(of) the_DET_O_DT_det_peace_(the) peace_NOUN_O_NN_nmod_breach_(peace) ;_PUNCT_O_:_punct_bring_(;) ;
","và_X_O_FW_case_loại_(và) loại_X_O_FW_compound_trừ_(loại) trừ_X_O_FW_root_;_(trừ) các_X_O_FW_case_mối_(các) mối_X_O_FW_nmod_trừ_(mối) đe_X_O_FW_case_dọa_(đe) dọa_X_O_FW_case_hoà_(dọa) hoà_X_O_FW_nmod_trừ_(hoà) bình_X_O_FW_goeswith_hoà_,_X_O_FW_flat_cấm_(,) cấm_X_O_FW_flat_hoà_(cấm) mọi_X_O_FW_flat_cấm_(mọi) hành_X_O_FW_goeswith_mọi_vi_X_O_FW_flat_mọi_(vi) xâm_X_O_FW_flat_mọi_(xâm) lược_X_O_FW_goeswith_xâm_và_X_O_FW_case_xâm_(và) phá_X_O_FW_flat_xâm_(phá) hoại_X_O_FW_flat_xâm_(hoại) hoà_X_O_FW_obl_xâm_(hoà) bình_X_O_FW_goeswith_hoà_khác_X_O_FW_nmod_xâm_(khác) ;_PUNCT_O_,_punct_loại_(;) ;
"
0,"To_PART_O_TO_mark_develop_(to) develop_VERB_O_VB_root_;_(develop) friendly_ADJ_O_JJ_amod_relations_(friendly) relations_NOUN_O_NNS_obj_develop_(relation) among_ADP_O_IN_case_nations_(among) nations_NOUN_O_NNS_nmod_relations_(nation) based_VERB_O_VBN_advcl_develop_(base) on_ADP_O_IN_case_respect_(on) respect_NOUN_O_NN_obl_based_(respect) for_ADP_O_IN_case_principle_(for) the_DET_O_DT_det_principle_(the) principle_NOUN_O_NN_nmod_respect_(principle) of_ADP_O_IN_case_rights_(of) equal_ADJ_O_JJ_amod_rights_(equal) rights_NOUN_O_NNS_nmod_principle_(right) and_CCONJ_O_CC_cc_determination_(and) self_NOUN_O_NN_compound_determination_(self) -_PUNCT_O_HYPH_punct_self_(-) determination_NOUN_O_NN_conj_rights_(determination) of_ADP_O_IN_case_peoples_(of) peoples_NOUN_O_NNS_nmod_determination_(people) ,_PUNCT_O_,_punct_take_(,) and_CCONJ_O_CC_cc_take_(and) to_PART_O_TO_mark_take_(to) take_VERB_O_VB_conj_develop_(take) other_ADJ_O_JJ_amod_measures_(other) appropriate_ADJ_O_JJ_amod_measures_(appropriate) measures_NOUN_O_NNS_obj_take_(measure) to_PART_O_TO_mark_strengthen_(to) strengthen_VERB_O_VB_acl_measures_(strengthen) universal_ADJ_O_JJ_amod_peace_(universal) peace_NOUN_O_NN_obj_strengthen_(peace) ;_PUNCT_O_:_punct_develop_(;) ;
","Phát_X_O_FW_root_;_(phát) triển_X_O_FW_goeswith_Phát_mối_X_O_FW_flat_Phát_(mối) quan_X_O_FW_flat_Phát_(quan) hệ_X_O_FW_flat_Phát_(hệ) hữu_X_O_FW_flat_Phát_(hữu) nghị_X_O_FW_obl_Phát_(nghị) giữa_X_O_FW_obl_Phát_(giữa) các_X_O_FW_obl_Phát_(các) dân_X_O_FW_obl_Phát_(dân) tộc_X_O_FW_obl_Phát_(t'c) trên_X_O_FW_conj_Phát_(trên) cơ_X_O_FW_case_tôn_(cơ) sở_X_O_FW_case_tôn_(sở) tôn_X_O_FW_parataxis_Phát_(tôn) trọng_X_O_FW_goeswith_tôn_nguyên_X_O_FW_flat_tắc_(nguyên) tắc_X_O_FW_flat_tôn_(t'c) bình_X_O_FW_goeswith_tắc_đẳng_X_O_FW_goeswith_tắc_và_X_O_FW_case_quyết_(và) tự_X_O_FW_case_quyết_(tự) quyết_X_O_FW_flat_tắc_(quyết) của_X_O_FW_case_tắc_(của) các_X_O_FW_case_tộc_(các) dân_X_O_FW_case_tộc_(dân) tộc_X_O_FW_nmod_quyết_(t'c) và_X_O_FW_case_áp_(và) áp_X_O_FW_nmod_tộc_(áp) dụng_X_O_FW_goeswith_áp_những_X_O_FW_goeswith_áp_biện_X_O_FW_flat_áp_(biện) pháp_X_O_FW_flat_áp_(pháp) phù_X_O_FW_flat_pháp_(phù) hợp_X_O_FW_case_pháp_(hợp) khác_X_O_FW_case_để_(khác) để_X_O_FW_case_hợp_(để) củng_X_O_FW_goeswith_để_cố_X_O_FW_case_để_(cố) hoà_X_O_FW_case_để_(hoà) bình_X_O_FW_goeswith_hoà_thế_X_O_FW_goeswith_hoà_giới_X_O_FW_flat_hoà_(giới) ;_PUNCT_O_:_punct_Phát_(;) ;
"
0,"To_PART_O_TO_mark_achieve_(to) achieve_VERB_O_VB_root_and_(achieve) international_ADJ_O_JJ_amod_co-operation_(international) co-operation_NOUN_O_NN_obj_achieve_(co-operation) in_SCONJ_O_IN_mark_solving_(in) solving_VERB_O_VBG_acl_co-operation_(solve) international_ADJ_O_JJ_amod_problems_(international) problems_NOUN_O_NNS_obj_solving_(problem) of_ADP_O_IN_case_character_(of) an_DET_O_DT_det_character_(a) economic_ADJ_O_JJ_amod_character_(economic) ,_PUNCT_O_,_punct_social_(,) social_ADJ_O_JJ_conj_economic_(social) ,_PUNCT_O_,_punct_cultural_(,) cultural_ADJ_O_JJ_conj_economic_(cultural) ,_PUNCT_O_,_punct_humanitarian_(,) or_CCONJ_O_CC_cc_humanitarian_(or) humanitarian_ADJ_O_JJ_conj_economic_(humanitarian) character_NOUN_O_NN_nmod_problems_(character) ,_PUNCT_O_,_punct_promoting_(,) and_CCONJ_O_CC_cc_promoting_(and) in_SCONJ_O_IN_mark_promoting_(in) promoting_VERB_O_VBG_conj_solving_(promote) and_CCONJ_O_CC_cc_encouraging_(and) encouraging_VERB_O_VBG_conj_promoting_(encourage) respect_NOUN_O_NN_obj_promoting_(respect) for_ADP_O_IN_case_rights_(for) human_ADJ_O_JJ_amod_rights_(human) rights_NOUN_O_NNS_nmod_respect_(right) and_CCONJ_O_CC_cc_freedoms_(and) for_ADP_O_IN_case_freedoms_(for) fundamental_ADJ_O_JJ_amod_freedoms_(fundamental) freedoms_NOUN_O_NNS_conj_respect_(freedom) for_ADP_O_IN_case_all_(for) all_DET_O_DT_nmod_freedoms_(all) without_ADP_O_IN_case_distinction_(without) distinction_NOUN_O_NN_nmod_freedoms_(distinction) as_ADP_O_IN_case_race_(as) to_ADP_O_IN_fixed_as_(to) race_NOUN_O_NN_nmod_freedoms_(race) ,_PUNCT_O_,_punct_sex_(,) sex_NOUN_O_NN_conj_race_(sex) ,_PUNCT_O_,_punct_language_(,) language_NOUN_O_NN_conj_race_(language) ,_PUNCT_O_,_punct_religion_(,) or_CCONJ_O_CC_cc_religion_(or) religion_NOUN_O_NN_conj_race_(religion) ;_PUNCT_O_:_punct_and_(;) and_CCONJ_O_CC_dep_achieve_(and) and
","Thực_X_O_FW_root_;_(Thực) hiện_X_O_FW_goeswith_Thực_sự_X_O_FW_flat_Thực_(sự) hợp_X_O_FW_obj_Thực_(hợp) tác_X_O_FW_obj_Thực_(tác) quốc_X_O_FW_conj_Thực_(quốc) tế_X_O_FW_parataxis_Thực_(tế) trong_X_O_FW_goeswith_tế_việc_X_O_FW_flat_tế_(việc) giải_X_O_FW_flat_tế_(giải) quyết_X_O_FW_flat_tế_(quyết) các_X_O_FW_case_vấn_(các) vấn_X_O_FW_nmod_quyết_(vấn) đề_X_O_FW_nmod_quyết_(đề) quốc_X_O_FW_case_tế_(quốc) tế_X_O_FW_nmod_đề_(tế) về_X_O_FW_case_quốc_(về) kinh_X_O_FW_goeswith_về_tế_X_O_FW_nmod_x_(tế) ,_X_O_FW_case_x_(,) x_X_O_FW_flat_tế_(x) ã_X_O_FW_case_hoá_(ã) hội_X_O_FW_case_hoá_(hội) ,_X_O_FW_case_hoá_(,) văn_X_O_FW_case_hoá_(văn) hoá_X_O_FW_nmod_x_(hoá) và_X_O_FW_case_khuyến_(và) nhân_X_O_FW_goeswith_và_đạo_X_O_FW_case_khuyến_(đạo) và_X_O_FW_case_khuyến_(và) khuyến_X_O_FW_nmod_hoá_(khuyến) khích_X_O_FW_goeswith_khuyến_phát_X_O_FW_flat_tôn_(phát) triển_X_O_FW_goeswith_phát_sự_X_O_FW_flat_tôn_(sự) tôn_X_O_FW_flat_khuyến_(tôn) trọng_X_O_FW_goeswith_tôn_các_X_O_FW_case_quyền_(các) quyền_X_O_FW_flat_tôn_(quyền) của_X_O_FW_flat_tôn_(của) con_X_O_FW_case_người_(con) người_X_O_FW_nmod_quyền_(người) và_X_O_FW_case_tự_(và) các_X_O_FW_case_cơ_(các) tự_X_O_FW_case_cơ_(tự) do_X_O_FW_case_cơ_(do) cơ_X_O_FW_nmod_người_(cơ) bản_X_O_FW_goeswith_cơ_cho_X_O_FW_flat_cơ_(cho) tất_X_O_FW_goeswith_cho_cả_X_O_FW_flat_mọi_(cả) mọi_X_O_FW_flat_cho_(mọi) người_X_O_FW_flat_phân_(người) không_X_O_FW_goeswith_người_phân_X_O_FW_flat_mọi_(phân) biệt_X_O_FW_goeswith_phân_chủng_X_O_FW_flat_phân_(chủng) tộc_X_O_FW_flat_phân_(t'c) ,_PUNCT_O_,_punct_nam_(,) nam_X_O_FW_flat_phân_(nam) nữ_X_O_FW_flat_nam_(nữ) ,_PUNCT_O_,_punct_ngôn_(,) ngôn_X_O_FW_flat_nam_(ngôn) ngữ_X_O_FW_flat_ngôn_(ngữ) hoặc_X_O_FW_flat_ngôn_(hoặc) tôn_X_O_FW_case_hoặc_(tôn) giáo_X_O_FW_flat_tôn_(giáo) ;_PUNCT_O_,_punct_Thực_(;) ;
"
0,"To_PART_O_TO_mark_centre_(to) be_AUX_O_VB_cop_centre_(be) a_DET_O_DT_det_centre_(a) centre_NOUN_O_NN_root_._(centre) for_SCONJ_O_IN_mark_harmonizing_(for) harmonizing_VERB_O_VBG_acl_centre_(harmonize) the_DET_O_DT_det_actions_(the) actions_NOUN_O_NNS_obj_harmonizing_(action) of_ADP_O_IN_case_nations_(of) nations_NOUN_O_NNS_nmod_actions_(nation) in_ADP_O_IN_case_attainment_(in) the_DET_O_DT_det_attainment_(the) attainment_NOUN_O_NN_obl_harmonizing_(attainment) of_ADP_O_IN_case_ends_(of) these_DET_O_DT_det_ends_(this) common_ADJ_O_JJ_amod_ends_(common) ends_NOUN_O_NNS_nmod_attainment_(end) ._PUNCT_O_._punct_centre_(.) .
","Trở_X_O_FW_root_._(Trở) thành_X_O_FW_goeswith_Trở_trung_X_O_FW_goeswith_Trở_tâm_X_O_FW_flat_Trở_(tâm) phối_X_O_FW_flat_Trở_(phối) hợp_X_O_FW_flat_Trở_(hợp) mọi_X_O_FW_parataxis_Trở_(mọi) hành_X_O_FW_goeswith_mọi_động_X_O_FW_goeswith_mọi_của_X_O_FW_flat_mọi_(của) các_X_O_FW_flat_mọi_(các) dân_X_O_FW_flat_tộc_(dân) tộc_X_O_FW_flat_mọi_(t'c) ,_PUNCT_O_HYPH_punct_tộc_(,) nhằm_X_O_FW_goeswith_,_đạt_X_O_FW_flat_tộc_(đạt) được_X_O_FW_flat_tộc_(được) những_X_O_FW_goeswith_được_mục_X_O_FW_flat_được_(mục) đích_X_O_FW_goeswith_được_chung_X_O_FW_flat_được_(Chung) nói_X_O_FW_flat_được_(nói) trên_X_O_FW_flat_được_(trên) ._PUNCT_O_._punct_Trở_(.) .
"
0,"Article_NOUN_O_NN_root_2_(article) 2_NUM_S-CARDINAL_CD_dep_Article_(2) 2
","Điều_NOUN_O_NN_root_:_(Điều) 2_NUM_S-CARDINAL_CD_dep_Điều_(2) :_PUNCT_O_:_punct_Điều_(:) :
"
0,"The_DET_B-ORG_DT_det_Organization_(the) Organization_PROPN_I-ORG_NNP_nsubj_act_(Organization) and_CCONJ_I-ORG_CC_cc_Members_(and) its_PRON_I-ORG_PRP$_nmod:poss_Members_(its) Members_PROPN_E-ORG_NNPS_conj_Organization_(Member) ,_PUNCT_O_,_punct_Organization_(,) in_ADP_O_IN_case_pursuit_(in) pursuit_NOUN_O_NN_nmod_Organization_(pursuit) of_ADP_O_IN_case_Purposes_(of) the_DET_O_DT_det_Purposes_(the) Purposes_NOUN_S-ORG_NNS_nmod_pursuit_(purpose) stated_VERB_O_VBN_acl_Purposes_(state) in_ADP_O_IN_case_Article_(in) Article_NOUN_B-LAW_NN_obl_stated_(article) 1_NUM_E-LAW_CD_nummod_Article_(1) ,_PUNCT_O_,_punct_Organization_(,) shall_AUX_O_MD_aux_act_(shall) act_VERB_O_VB_root_._(act) in_ADP_O_IN_case_accordance_(in) accordance_NOUN_O_NN_obl_act_(accordance) with_ADP_O_IN_case_Principles_(with) the_DET_B-LAW_DT_det_Principles_(the) following_VERB_I-LAW_VBG_amod_Principles_(follow) Principles_NOUN_E-LAW_NNS_nmod_accordance_(Principle) ._PUNCT_O_._punct_act_(.) .
","Để_X_O_FW_compound_đạt_(Để) đạt_X_O_FW_root_:_(đạt) được_X_O_FW_flat_đạt_(được) những_X_O_FW_goeswith_được_mục_X_O_FW_flat_đạt_(mục) đích_X_O_FW_goeswith_được_nêu_X_O_FW_flat_được_(nêu) ở_X_O_FW_flat_đạt_(ở) Điều_X_O_FW_flat_đạt_(Điều) 1_X_O_FW_flat_đạt_(1) ,_X_O_FW_flat_đạt_(,) Liên_X_O_FW_flat_đạt_(Liên) hợp_X_O_FW_flat_đạt_(hợp) quốc_X_O_FW_flat_các_(quốc) và_X_O_FW_case_các_(và) các_X_O_FW_flat_hợp_(các) thành_X_O_FW_goeswith_các_viên_X_O_FW_flat_các_(viên) Liên_X_O_FW_flat_hợp_(Liên) hợp_X_O_FW_flat_quốc_(hợp) quốc_X_O_FW_flat_các_(quốc) hành_X_O_FW_goeswith_quốc_động_X_O_FW_goeswith_quốc_phù_X_O_FW_flat_quốc_(phù) hợp_X_O_FW_flat_quốc_(hợp) với_X_O_FW_flat_hợp_(với) những_X_O_FW_goeswith_với_nguyên_X_O_FW_flat_với_(nguyên) tắc_X_O_FW_flat_quốc_(t'c) sau_X_O_FW_case_đây_(sau) đây_X_O_FW_obl_quốc_(đây) :_PUNCT_O_:_punct_đạt_(:) :
"
0,"The_DET_O_DT_det_Organization_(the) Organization_NOUN_S-ORG_NN_nsubj:pass_based_(Organization) is_AUX_O_VBZ_aux:pass_based_(be) based_VERB_O_VBN_root_._(base) on_ADP_O_IN_case_principle_(on) the_DET_O_DT_det_principle_(the) principle_NOUN_O_NN_obl_based_(principle) of_ADP_O_IN_case_equality_(of) the_DET_O_DT_det_equality_(the) sovereign_ADJ_O_JJ_amod_equality_(sovereign) equality_NOUN_O_NN_nmod_principle_(equality) of_ADP_O_IN_case_Members_(of) all_DET_O_PDT_det:predet_Members_(all) its_PRON_O_PRP$_nmod:poss_Members_(its) Members_PROPN_O_NNPS_nmod_equality_(Member) ._PUNCT_O_._punct_based_(.) .
","Liên_X_O_FW_compound_hợp_(Liên) hợp_X_O_FW_root_._(hợp) quốc_X_O_FW_flat_hợp_(quốc) được_X_O_FW_flat_hợp_(được) xây_X_O_FW_flat_hợp_(xây) dựng_X_O_FW_goeswith_xây_trên_X_O_FW_flat_xây_(trên) nguyên_X_O_FW_flat_tắc_(nguyên) tắc_X_O_FW_flat_xây_(t'c) bình_X_O_FW_goeswith_tắc_đẳng_X_O_FW_goeswith_tắc_chủ_X_O_FW_flat_tắc_(chủ) quyền_X_O_FW_flat_tắc_(quyền) của_X_O_FW_flat_tắc_(của) tất_X_O_FW_goeswith_của_cả_X_O_FW_flat_quyền_(cả) các_X_O_FW_case_quốc_(các) quốc_X_O_FW_flat_cả_(quốc) gia_X_O_FW_flat_quốc_(gia) thành_X_O_FW_goeswith_gia_viên_X_O_FW_obj_gia_(viên) ._PUNCT_O_._punct_hợp_(.) .
"
0,"All_DET_O_DT_det_Members_(all) Members_NOUN_O_NNS_nsubj_fulfill_(member) ,_PUNCT_O_,_punct_fulfill_(,) in_SCONJ_O_IN_mark_ensure_(in) order_NOUN_O_NN_fixed_in_(order) to_PART_O_TO_mark_ensure_(to) ensure_VERB_O_VB_advcl_fulfill_(ensure) to_ADP_O_IN_case_all_(to) all_DET_O_DT_obl_ensure_(all) of_ADP_O_IN_case_them_(of) them_PRON_O_PRP_nmod_all_(they) the_DET_O_DT_det_rights_(the) rights_NOUN_O_NNS_obj_ensure_(right) and_CCONJ_O_CC_cc_benefits_(and) benefits_NOUN_O_NNS_conj_rights_(benefit) resulting_VERB_O_VBG_acl_rights_(result) from_ADP_O_IN_case_membership_(from) membership_NOUN_O_NN_obl_resulting_(membership) ,_PUNCT_O_,_punct_ensure_(,) shall_AUX_O_MD_aux_fulfill_(shall) fulfill_VERB_O_VB_root_._(fulfill) in_ADP_O_IN_case_faith_(in) good_ADJ_O_JJ_amod_faith_(good) faith_NOUN_O_NN_obl_fulfill_(faith) the_DET_O_DT_det_obligations_(the) obligations_NOUN_O_NNS_obj_fulfill_(obligation) assumed_VERB_O_VBN_acl_obligations_(assume) by_ADP_O_IN_case_them_(by) them_PRON_O_PRP_obl_assumed_(they) in_ADP_O_IN_case_accordance_(in) accordance_NOUN_O_NN_obl_assumed_(accordance) with_ADP_O_IN_case_Charter_(with) the_DET_O_DT_det_Charter_(the) present_ADJ_O_JJ_amod_Charter_(present) Charter_PROPN_S-LAW_NNP_nmod_accordance_(Charter) ._PUNCT_O_._punct_fulfill_(.) .
